Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
19-11-07,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,3.4,12.2,44,82
23-11-07,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,2.5,13.3,65,121
27-11-07,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,3.1,13.6,57,111
29-11-07,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,3.6,13.4,75,115
12/4/2007,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,4.2,16,66,115
12/7/2007,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,3.4,14.5,78,115
12/11/2007,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,2.8,13.6,66,107
13-12-07,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,3.5,15.3,74,133
17-12-07,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,3.2,14,52,133
19-12-07,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,3.5,13.3,64,112
26-12-07,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,NA,NA,NA,NA
30-12-07,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,3.8,14.6,69,133
1/9/2007,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,6,36.9,149,351
1/10/2007,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.2,34.5,153,372
13-01-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.6,34.5,128,314
14-01-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.3,33,131,337
16-01-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.2,43.6,152,370
20-01-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.8,36.1,172,497
22-01-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,7.3,51.4,167,430
26-01-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.2,31,140,349
28-01-07,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.5,34.9,163,344
2/2/2007,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.6,36.4,113,327
2/4/2007,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.5,34.8,164,349
2/8/2007,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.2,30.4,140,416
2/10/2007,Andhra Pradesh,Hyderabad,Uppal,Industrial Areas,5.7,35.6,89,200
