Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
159,February_1995,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",6.7,17.4,NA,195
159,March_1995,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",6.8,17.8,NA,155
159,April_1995,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",6.1,9,NA,52
159,May_1995,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",10.1,16.4,NA,147
159,June_1995,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",8.7,11.3,NA,108
159,July_1995,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",9.4,10,NA,90
159,August_1995,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",9.2,17.9,NA,103
159,September_1995,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",6.6,23,NA,83
159,October_1995,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",11.2,30.8,NA,95
159,November_1995,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",13.5,33.3,NA,121
159,December_1995,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",11.2,34.9,NA,121
159,Annual_1995,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",8.8,20.1,NA,117
160,January_1995,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",6,8.9,NA,107
160,February_1995,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",6,9.6,NA,161
160,March_1995,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",6,6.4,NA,80
160,April_1995,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",6,4.9,NA,60
160,May_1995,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",6.9,7.7,NA,79
160,June_1995,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",7.5,7.7,NA,93
160,July_1995,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",6.4,5.7,NA,90
160,August_1995,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",6,6.2,NA,72
160,September_1995,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",6.6,13,NA,70
160,October_1995,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",6.7,11.1,NA,111
160,November_1995,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",8.3,14.9,NA,83
160,December_1995,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",9.5,12,NA,134
160,Annual_1995,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",6.8,8.9,NA,95
161,January_1995,Tamil Nadu,Madras,NA,Industrial Area,9,9.2,NA,111
161,February_1995,Tamil Nadu,Madras,NA,Industrial Area,7.3,12.1,NA,231
161,March_1995,Tamil Nadu,Madras,NA,Industrial Area,7.3,11,NA,203
161,April_1995,Tamil Nadu,Madras,NA,Industrial Area,7.1,9.6,NA,105
161,May_1995,Tamil Nadu,Madras,NA,Industrial Area,8.4,10,NA,140
161,June_1995,Tamil Nadu,Madras,NA,Industrial Area,9,14.9,NA,157
161,July_1995,Tamil Nadu,Madras,NA,Industrial Area,20.2,14.2,NA,195
161,August_1995,Tamil Nadu,Madras,NA,Industrial Area,7.6,18,NA,128
161,September_1995,Tamil Nadu,Madras,NA,Industrial Area,11.5,21.8,NA,144
161,October_1995,Tamil Nadu,Madras,NA,Industrial Area,18.3,22.1,NA,106
161,November_1995,Tamil Nadu,Madras,NA,Industrial Area,10.5,16.8,NA,126
161,December_1995,Tamil Nadu,Madras,NA,Industrial Area,6.5,7.5,NA,115
161,Annual_1995,Tamil Nadu,Madras,NA,Industrial Area,10.1,14,NA,148
239,August_1995,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,2.1,20.5,NA,55
240,August_1995,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,7,18.6,NA,39
240,September_1995,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,3.9,14.3,NA,31
